tblname,name,poly,incomeShared,senateIdShared
1,04 FOUNDATION INC,"<Point><coordinates>-70.776972,42.58346</coordinates></Point>",NA,20
1,1000 FRIENDS OF MASSACHUSETTS INC,"<Point><coordinates>-71.062141,42.358245</coordinates></Point>",0,27
1,100TH BOMB GROUP FOUNDATION INC,"<Point><coordinates>-71.054848,42.35735</coordinates></Point>",45965,27
1,101ST INFANTRY VETERANS ASSOCIATION INC,"<Point><coordinates>-71.051882,42.297001</coordinates></Point>",NA,1
1,104TH US INFANTRY VETERANS AEF ASSOCIATION INC,"<Point><coordinates>-72.628099,42.193138</coordinates></Point>",0,5
1,1060 BELMONT INC,"<Point><coordinates>-71.181425,42.366473</coordinates></Point>",707660,28
1,11 FOUNDATION - IN MEMORY OF MICHAEL MASON INC,"<Point><coordinates>-70.985901,42.374835</coordinates></Point>",40626,27
1,110 INC,"<Point><coordinates>-71.06896,42.499713</coordinates></Point>",455118,23
1,1213 MAIN STREET PROPERTIES INC,"<Point><coordinates>-71.836693,42.244405</coordinates></Point>",25141,11
1,123 CRAWFORD STREET INC,"<Point><coordinates>-71.086061,42.336279</coordinates></Point>",196315,2
1,128 LACROSSE CLUB,"<Point><coordinates>-71.25006,42.279797</coordinates></Point>",NA,17
1,128 WEST TRANSPORTATION COUNCIL INC,"<Point><coordinates>-71.239248,42.389782</coordinates></Point>",1959568,16
1,15-40 CONNECTION INC,"<Point><coordinates>-71.798825,42.276832</coordinates></Point>",1160539,10
1,1746 DOCK CORP,"<Point><coordinates>-71.049486,41.638992</coordinates></Point>",0,37
1,1794 MEETINGHOUSE INC,"<Point><coordinates>-72.33203,42.50426</coordinates></Point>",64277,6
1,182D INFANTRY ASSOCIATION,"<Point><coordinates>-71.068086,42.445777</coordinates></Point>",0,23
1,1843 CORPORATION,"<Point><coordinates>-70.928308,41.642792</coordinates></Point>",36003,38
1,1960 TRUST,"<Point><coordinates>-71.081859,42.348892</coordinates></Point>",102,28
1,1997 JOHN AND MARY MURPHY EDUCATIONAL FOUNDATION,"<Point><coordinates>-71.137715,42.45428</coordinates></Point>",102302,23
1,1BERKSHIRE STRATEGIC ALLIANCE FOUNDATION INC,"<Point><coordinates>-73.25232,42.449656</coordinates></Point>",1773775,4
1,1BERKSHIRE STRATEGIC ALLIANCE INC,"<Point><coordinates>-73.25232,42.449656</coordinates></Point>",187054,4
1,1FOR3-ORG INC,"<Point><coordinates>-71.116815,42.468611</coordinates></Point>",29298,23
1,1HEAD 1 BODY INC,"<Point><coordinates>-71.001189,42.418805</coordinates></Point>",0,27
1,1RACE ROOTING ACTION TO CULTIVATE EQUALITY INC,"<Point><coordinates>-71.04652,42.438276</coordinates></Point>",0,23
1,1ST AND GOAL INC,"<Point><coordinates>-71.230494,42.450189</coordinates></Point>",19568,24
1,1ST LIEUTENANT DEREK HINES SOLDIERSASSISTANCE FUND INC,"<Point><coordinates>-70.90507,42.82523</coordinates></Point>",35505,19
1,2 DEPOT SQUARE IPSWICH CHARITABLEFOUNDATION,"<Point><coordinates>-70.840496,42.678765</coordinates></Point>",569377,20
1,20 SUMMERS INC,"<Point><coordinates>-70.182508,42.05763</coordinates></Point>",0,40
1,200 FOUNDATION,"<Point><coordinates>-71.459405,42.446396</coordinates></Point>",239524,14
1,200 SPORTSMAN CLUB INC,"<Point><coordinates>-71.842974,42.081517</coordinates></Point>",292186,12
1,201 MIDDLESEX STREET TRANSITIONAL HOUSING AND EDUCATION TRUST INC,"<Point><coordinates>-71.106518,42.511052</coordinates></Point>",135377,23
1,202 STREET HOCKEY ASSOCIATION,"<Point><coordinates>-72.23033,42.59353</coordinates></Point>",53275,8
1,2020 ACTION FUND INC,"<Point><coordinates>-70.919635,42.338947</coordinates></Point>",0,1
1,2020 PROJECT INC,"<Point><coordinates>-70.919635,42.338947</coordinates></Point>",0,1
1,2020 WOMEN ON BOARDS,"<Point><coordinates>-71.120811,42.310209</coordinates></Point>",80276,2
1,21 FRIENDS INC,"<Point><coordinates>-71.076779,41.565931</coordinates></Point>",NA,37
1,2136 CORPORATION,"<Point><coordinates>-71.431458,42.127403</coordinates></Point>",42325,15
1,22 SCHOLARSHIP FUND,"<Point><coordinates>-71.141139,42.475139</coordinates></Point>",0,24
1,2211101 NORWOOD AMERICAN LL,"<Point><coordinates>-71.225207,42.18056</coordinates></Point>",140038,30
